Platz,Spieler,Tore,Elfmeter
1,Gerd Müller,365,51
2,Robert Lewandowski,312,40
3,Klaus Fischer,268,10
4,Jupp Heynckes,220,12
5,Manfred Burgsmüller,213,7
6,Claudio Pizarro,197,10
7,Ulf Kirsten,182,14
8,Stefan Kuntz,179,30
9,Dieter Müller,177,5
9,Klaus Allofs,177,10
10,Mario Gomez,170,8
11,Hannes Löhr,166,12
12,Karl-Heinz Rummenigge,162,6
13,Bernd Hölzenbein,160,8
14,Fritz Walter,157,17
15,Thomas Allofs,148,3
16,Stefan Kießling,144,9
16,Marco Reus,144,12
17,Bernd Nickel,141,9
18,Uwe Seeler,137,3
18,Thomas Müller,137,13
19,Horst Hrubesch,136,7
20,Giovane Élber,133,0
21,Rudi Völler,132,4
22,Michael Zorc,131,49
23,Karl Allgöwer,129,13
24,Dieter Hoeneß,127,2
24,Vedad Ibišević,127,18
25,Martin Max,126,6
26,Georg Volkert,125,31
27,Frank Mill,123,8
28,Herbert Laumen,121,0
28,Miroslav Klose,121,6
28,Lothar Matthäus,121,30
29,Roland Wohlfarth,120,2
30,Ronnie Worm,119,0
30,Bernd Rupp,119,0
31,Pierre Littbarski,116,14
32,Lothar Emmerich,115,9
33,Reiner Geye,113,6
34,Kevin Kurányi,111,0
35,Jürgen Klinsmann,110,4
35,Andreas Möller,110,8
36,Jürgen Grabowski,109,15
37,Fredi Bobic,108,0
37,Klaus Toppmöller,108,4
38,Uwe Rahn,107,7
39,Stéphane Chapuisat,106,2
39,Ailton,106,17
39,Christian Schreier,106,20
40,Bruno Labbadia,103,1
41,Marco Bode,101,0
42,Thomas von Heesen,100,5
43,Arjen Robben,99,11
44,Beom-geun Cha,98,0
44,Erwin Kostedde,98,0
44,Pierre-Emerick Aubameyang,98,9
44,Mehmet Scholl,98,11
45,Frank Neubarth,97,0
45,Franz Brungs,97,0
45,Max Kruse,97,24
46,Tony Yeboah,96,3
46,Hermann Ohlicher,96,4
46,Sergej Barbarez,96,5
47,Erich Beer,95,7
48,Hans-Jörg Criens,94,5
49,Willi Reimann,93,5
49,Alexander Meier,93,7
49,Paul Breitner,93,31
50,Ente Lippens,92,1
51,Michael Preetz,91,3
51,Rüdiger Wenzel,91,5
51,Timo Werner,91,7
51,Oliver Neuville,91,8
51,Uwe Bein,91,10
52,Toni Polster,90,19
53,Wolfgang Frank,89,3
54,Cacau,88,1
54,Nils Petersen,88,10
54,Andrej Kramarić,88,20
55,Werner Weist,87,1
56,Uli Hoeneß,86,1
56,Franck Ribéry,86,3
56,Karl-Heinz Handschuh,86,7
57,Dieter Eckstein,84,2
57,Klaas-Jan Huntelaar,84,9
57,Lothar Ulsaß,84,16
58,Horst Köppel,83,0
58,Raffael,83,3
58,Anthony Modeste,83,7
58,Wolfgang Overath,83,10
58,Friedhelm Funkel,83,18
59,Olaf Thon,82,13
59,Günter Netzer,82,28
60,Heinz Flohe,81,8
61,Michael Rummenigge,80,5
62,Wolfgang Seel,79,0
63,Roy Makaay,78,8
64,Rüdiger Abramczik,77,0
64,Kevin Volland,77,3
64,Bernard Dietz,77,6
64,Michael Ballack,77,8
64,Lars Stindl,77,9
64,Marcelinho,77,15
65,Heinz Strehl,76,6
65,Allan Simonsen,76,6
65,Manfred Kaltz,76,53
66,Heiko Herrlich,75,2
66,Lorenz Horr,75,12
66,Jürgen Röber,75,17
67,Werner Görts,74,0
67,Dieter Brenninger,74,5
67,Herbert Waas,74,5
68,Ebbe Sand,73,0
69,Timo Konietzka,72,0
69,Ivica Olić,72,0
69,Karl-Heinz Riedle,72,0
69,Sigfried Held,72,0
69,Franz Roth,72,4
69,Hans Siemensmeyer,72,11
70,Christian Müller,71,0
70,Stefan Effenberg,71,18
71,Diego Klimowicz,70,0
71,Lukas Podolski,70,11
71,Hans-Joachim Abel,70,16
72,Jürgen Wegmann,69,1
72,Reinhold Wosab,69,4
72,Dimitar Berbatow,69,5
72,Arnold Schütz,69,19
73,Norbert Meier,68,0
73,Paulo Sérgio,68,5
73,Bernd Gersdorff,68,10
73,Frank Ordenewitz,68,15
73,Thomas Häßler,68,16
74,Halil Altintop,67,0
74,Serge Gnabry,67,1
74,Holger Fach,67,1
74,Jørn Andersen,67,2
74,Bernhard Winkler,67,11
74,Uwe Reinders,67,16
75,Martin Harnik,66,0
75,Edin Džeko,66,2
75,Rudi Brunnenmeier,66,4
75,Wolfram Wuttke,66,8
75,Willi Huberts,66,9
76,Carl-Heinz Rühl,65,2
76,Rudolf Seliger,65,8
76,Siegfried Reich,65,11
77,Rainer Ohlhauser,64,0
77,Frank Hartmann,64,1
78,Jimmy Hartwig,63,0
78,Hans-Günter Bruns,63,5
79,Markus Schroth,62,0
79,Willi Neuberger,62,1
79,Rainer Budde,62,3
79,Franz-Josef Hönig,62,3
79,Mario Basler,62,7
79,Erling Braut Haaland,62,8
79,Wilfried Hannes,62,31
80,Roland Sandberg,61,0
80,Jonathan Akpoborie,61,0
80,Jan Koller,61,1
80,Josef Pirrung,61,2
80,Erwin Kremers,61,2
80,Sean Dundee,61,3
80,Klaus Zaczyk,61,5
81,Martin Dahlin,60,0
81,Olaf Marschall,60,4
81,Jan Furtok,60,7
81,Harald Spörl,60,11
82,Hans-Jürgen Wittkamp,59,0
82,Norbert Janzon,59,0
82,Bernd Klotz,59,1
82,Atli Eðvaldsson,59,2
82,Stefan Kohn,59,5
82,Wout Weghorst,59,11
82,Wynton Rufer,59,11
82,Grafite,59,12
82,Andreas Herzog,59,14
83,Günter Thiele,58,0
83,Hartmut Weiß,58,2
83,Charly Dörfel,58,2
84,Mike Hanke,57,1
84,Ferdinand Keller,57,2
84,Mario Götze,57,2
84,Hans Küppers,57,4
84,Diego,57,11
84,Rainer Bonhof,57,20
85,Andrzej Juskowiak,56,0
85,Karl-Heinz Thielen,56,0
85,Stefan Beinlich,56,8
85,Aaron Hunt,56,11
86,Christian Hochstätter,55,0
86,Heinz Simmet,55,0
86,Benny Wendt,55,2
86,Theofanis Gekas,55,6
86,Horst-Dieter Höttges,55,40
87,Alexander Zickler,54,0
87,Walter Kelsch,54,1
87,Ádám Szalai,54,1
87,Thomas Brdaric,54,1
87,Uwe Wegmann,54,4
87,Ioannis Amanatidis,54,5
87,Rudi Bommer,54,7
87,Hansi Müller,54,9
87,Dieter Bast,54,12
87,Krassimir Balakow,54,19
88,Jürgen Milewski,53,0
88,Erwin Hermandung,53,0
88,Herbert Büssers,53,0
88,Pille Gecks,53,0
88,Carsten Jancker,53,0
88,Mario Mandžukić,53,1
88,Hans Walitza,53,1
88,Ingo Anderbrügge,53,20
89,Jupp Kaczor,52,0
89,Ole Bjørnmose,52,0
89,Klaus Augenthaler,52,0
89,Klaus Wunder,52,3
89,Manfred Pohlschmidt,52,3
89,Hasan Salihamidžić,52,4
89,Eric Maxim Choupo-Moting,52,6
90,Souleyman Sané,51,0
90,Bernd Hobsch,51,0
90,Bachirou Salou,51,0
90,Herbert Wimmer,51,0
90,André Schürrle,51,4
90,Mladen Petrić,51,5
90,Klaus Täuber,51,8
90,André Silva,51,11
90,Martin Kree,51,15
91,Gerald Asamoah,50,0
91,Ivan Klasnić,50,0
91,Marcel Witeczek,50,0
91,Pavel Kuka,50,1
91,Helmut Kremers,50,9
91,Andreas Brehme,50,18
91,Daniel Caligiuri,50,19
92,Ewald Lienen,49,0
92,Julian Brandt,49,0
92,Werner Krämer,49,0
92,Lars Ricken,49,1
92,Artur Wichniarek,49,3
92,Peter Grosser,49,5
92,Johannes Riedl,49,7
92,Torsten Frings,49,12
93,Peter Reichert,48,0
93,Andrij Woronin,48,0
93,Maurizio Gaudino,48,1
93,Bas Dost,48,2
93,Uwe Leifeld,48,3
93,Rolf Rüssmann,48,3
93,Ewerthon,48,4
93,Salomon Kalou,48,9
93,Harald Nickel,48,9
94,Paolo Guerrero,47,0
94,Jörgen Pettersson,47,0
94,Wolfgang Kraus,47,1
94,André Hahn,47,1
94,Wolfgang Rolff,47,2
94,Norbert Eilenfeldt,47,2
94,Mohamed Zidan,47,6
94,Hans-Peter Briegel,47,9
94,Rodolfo Cardoso,47,14
94,Sejad Salihović,47,29
95,Falko Götz,46,0
95,Norbert Nachtweih,46,0
95,Winfried Schäfer,46,0
95,Felix Magath,46,0
95,Patrick Herrmann,46,0
95,Vratislav Lokvenc,46,0
95,Theo Bücker,46,1
95,Wolfgang Solz,46,1
95,Christian Gentner,46,1
95,Naldo,46,1
95,Daniel Didavi,46,2
95,Dieter Herzog,46,3
95,Harald Kohr,46,3
95,Michael Spies,46,3
95,Walter Bechtold,46,8
95,Werner Lorant,46,22
96,Norbert Dickel,45,0
96,Werner Dreßel,45,0
96,Bruno Pezzey,45,0
96,Ditmar Jakobs,45,0
96,Wilfried Kohlars,45,0
96,Bastian Schweinsteiger,45,1
96,Marko Pantelić,45,1
96,Adrián Ramos,45,3
96,Patrick Helmes,45,4
96,Charly Körbel,45,12
96,Rafael van der Vaart,45,13
97,Wolfgang Vöge,44,0
97,Henning Jensen,44,0
97,Mark Uth,44,1
97,Frank Schulz,44,1
97,Milivoje Novakovič,44,3
97,Franz Beckenbauer,44,3
97,Wolfgang Sidka,44,4
97,Gerd Zimmermann,44,6
97,Horst Wild,44,9
98,Arne-Larsen Økland,43,0
98,Erich Maas,43,0
98,Mirko Votava,43,0
98,Werner Heck,43,0
98,Patrik Schick,43,1
98,Heinz-Dieter Hasebrink,43,2
98,Sandro Wagner,43,5
98,Thorgan Hazard,43,8
98,Bernd Lehmann,43,18
99,Ralf Dusend,42,0
99,Marek Leśniak,42,0
99,Nicolai Müller,42,0
99,Roy Präger,42,0
99,Hugo Almeida,42,0
99,Karl-Heinz Bührer,42,1
99,Rainer Schütterle,42,1
99,Thomas Kempe,42,1
99,Jiří Štajner,42,2
99,Lucas Alario,42,4
99,Gerd Zewe,42,4
99,Ludwig Bründl,42,5
99,Wolfgang Gayer,42,6
99,Manfred Bender,42,8
100,Andreas Thom,41,0
100,Dietmar Erler,41,0
100,Matthias Sammer,41,0
100,Thomas Helmer,41,0
100,Heung-Min Son,41,0
100,Peter Geyer,41,0
100,Shinji Kagawa,41,0
100,Emanuel Günther,41,1
100,Erhard Hofeditz,41,1
100,Simon Rolfes,41,5
100,Thomas Kastenmaier,41,10
100,Wolfgang Funkel,41,13
101,Yussuf Poulsen,40,0
101,Gerhard Zebrowski,40,0
101,Markus Rosenberg,40,0
101,Hans Schulz,40,0
101,Kurt Niedermayer,40,0
101,Kurt Pinkall,40,0
101,Per Røntved,40,0
101,Thorsten Fink,40,1
101,Alfred Heiß,40,2
101,Didier Ya Konan,40,2
101,Michael Gregoritsch,40,3
101,Florian Niederlechner,40,4
101,Markus Schupp,40,6
102,Tony Woodcock,39,0
102,Dariusz Wosz,39,0
102,Arno Steffenhagen,39,0
102,Lucas Barrios,39,0
102,Dieter Krafczyk,39,0
102,Flemming Povlsen,39,0
102,Karsten Bäron,39,0
102,Gerhard Kentschke,39,0
102,Hannes Bongartz,39,1
102,Günter Pröpper,39,2
102,Bernd Schneider,39,2
102,Karlheinz Vogt,39,3
102,Stephan Engels,39,6
102,Jefferson Farfán,39,8
102,Ásgeir Sigurvinsson,39,9
102,Szabolcs Huszti,39,13
103,Caspar Memering,38,0
103,Horst Bertl,38,0
103,Luca Toni,38,0
103,Klaus Matischak,38,0
103,Horst Heese,38,0
103,Walter Rodekamp,38,0
103,Christian Kulik,38,0
103,Vahid Hashemian,38,0
103,Gonzalo Castro,38,1
103,Bernd Dürnberger,38,1
103,Nelson Valdez,38,1
103,Zé Roberto,38,1
103,Jürgen Friedrich,38,1
103,Buffy Ettmayer,38,1
103,Jadon Sancho,38,1
103,Peter Nogly,38,2
103,Alassane Plea,38,3
103,Roberto Firmino,38,3
103,Erik Meijer,38,3
103,Klaus Scheer,38,4
103,Werner Balte,38,13
104,André Golke,37,0
104,Karlheinz Pflipsen,37,0
104,Karim Bellarabi,37,0
104,Shinji Okazaki,37,0
104,Heinz-Werner Eggeling,37,0
104,Christian Ziege,37,0
104,Michael Frontzeck,37,3
104,Silvio Meißner,37,3
104,Martin Wagner,37,3
104,Papiss Demba Cissé,37,5
104,Ralf Falkenmayer,37,8
104,Alfreð Finnbogason,37,9
104,Frank Pagelsdorf,37,11
104,Ata Lameck,37,12
105,Herbert Neumann,36,0
105,Demir Hotić,36,0
105,Hans Pflügler,36,0
105,Leon Goretzka,36,1
105,Kai Havertz,36,4
105,Jupp Kapellmann,36,4
105,Yunus Malli,36,5
105,Jürgen Glowacz,36,6
105,Zvjezdan Misimović,36,7
105,Lothar Kobluhn,36,9
105,Horst Heldt,36,12
105,Klaus-Dieter Sieloff,36,13
106,Bernardo Romeo,35,0
106,Wolfgang Schüler,35,0
106,Roland Stegmayer,35,0
106,Jonathan Schmid,35,0
106,Benno Möhlmann,35,1
106,Gregor Grillemeier,35,2
106,Paulo Rink,35,2
106,Vincenzo Grifo,35,13
107,Giuseppe Reina,34,0
107,Uwe Spies,34,0
107,Maximilian Arnold,34,0
107,Peter Wynhoff,34,0
107,Reinhold Mathy,34,0
107,Jürgen Bandura,34,0
107,Manfred Bockenfeld,34,0
107,Sergej Kirjakow,34,1
107,Filip Kostić,34,1
107,Ioan Ganea,34,2
107,Pierre-Michel Lasogga,34,2
107,Karl-Heinz Granitza,34,2
107,Thomas Christiansen,34,3
107,Josef Hickersberger,34,3
107,Davie Selke,34,3
107,Jonas Hofmann,34,4
107,Alexander Frei,34,8
108,Emile Mpenza,33,0
108,Heinz Hornig,33,0
108,Youri Mulder,33,1
108,Thomas Strunz,33,3
108,Benjamin Lauth,33,3
108,Marcel Sabitzer,33,4
108,Reiner Hollmann,33,6
108,Marcus Marin,33,7
108,Dieter Brei,33,11
108,Manfred Ritschel,33,17
109,Tim Borowski,32,0
109,Waldemar Gerhardt,32,0
109,Kevin Keegan,32,0
109,Victor Agali,32,0
109,Yıldıray Baştürk,32,0
109,Manfred Weidmann,32,0
109,Breel Embolo,32,0
109,Klaus Ackermann,32,0
109,Idriz Hošić,32,0
109,Andreas Müller,32,0
109,Markus Beierle,32,0
109,Alexander Iaschwili,32,0
109,Berti Vogts,32,0
109,Admir Mehmedi,32,1
109,Detlev Szymanek,32,1
109,Heinz van Haaren,32,2
109,Lincoln,32,3
109,Marek Mintál,32,3
109,Willy Reitgaßl,32,4
109,Jürgen Schütz,32,4
109,Horst Haug,32,4
109,Tomislav Marić,32,5
109,Lewan Kobiaschwili,32,10
109,Jörg Böhme,32,11
109,Emil Forsberg,32,13
110,Roque Santa Cruz,31,0
110,Daniel Borimirow,31,0
110,Klaus Gerwien,31,0
110,Adrian Knup,31,0
110,Manfred Kastl,31,0
110,Johan Micoud,31,0
110,Ivan Perisic,31,0
110,Werner Melzer,31,0
110,Christopher Nkunku,31,1
110,Edgar Schmitt,31,1
110,Andreas Zeyer,31,1
110,Ihlas Bebou,31,1
110,Niko Kovač,31,2
110,Thomas Remark,31,2
110,Robin Quaison,31,2
110,Otto Geisert,31,2
110,Josip Drmić,31,2
110,Peter Lux,31,5
110,Marcel Răducanu,31,6
110,Karl-Heinz Struth,31,12
111,Klaus Budde,30,0
111,Danilo Popivoda,30,0
111,Paul Agostino,30,0
111,Kingsley Coman,30,0
111,Michael Eggert,30,0
111,Jhon Córdoba,30,0
111,Anthony Ujah,30,0
111,Jürgen Rische,30,0
111,Uwe Freiler,30,0
111,Josip Skoblar,30,0
111,Gerd Strack,30,0
111,Eyjólfur Sverrisson,30,0
111,Franz Gerber,30,1
111,Wolfgang Patzke,30,1
111,Axel Kruse,30,2
111,Stephan Groß,30,3
111,Dirk Zander,30,4
111,Mohammed Abdellaoue,30,5
111,Lothar Woelk,30,7
111,Lothar Huber,30,18
112,Christian Nerlinger,29,0
112,Harry Ellbracht,29,0
112,Bernd Cullmann,29,0
112,Mats Hummels,29,0
112,Marijan Christow,29,0
112,Steffen Baumgart,29,0
112,Luka Jović,29,0
112,Tranquillo Barnetta,29,0
112,Raúl Bobadilla,29,0
112,Alexander Madlung,29,0
112,Gerhard Bold,29,1
112,Wolfgang Schäfer,29,1
112,Daniel Ginczek,29,2
112,Paul Freier,29,3
112,Jörg Albertz,29,3
112,Mehdi Mahdavikia,29,5
112,Arturo Vidal,29,6
112,René Rydlewicz,29,8
113,Fin Bartels,28,0
113,Stan Libuda,28,0
113,Guido Buchwald,28,0
113,Willi Entenmann,28,0
113,Ralf Sturm,28,0
113,Raúl,28,0
113,Janusz Turowski,28,0
113,Roger van Gool,28,0
113,Dieter Schatzschneider,28,0
113,Herbert Lütkebohmert,28,0
113,Jürgen Kohler,28,0
113,Stanislav Šesták,28,0
113,Leon Bailey,28,0
113,Amand Theis,28,0
113,Ronny Borchers,28,1
113,Jupp Nehl,28,1
113,Chicharito,28,1
113,André Breitenreiter,28,2
113,Ja-Cheol Koo,28,3
113,Jürgen Moll,28,3
113,Hakan Çalhanoğlu,28,3
113,Jakub Błaszczykowski,28,4
113,Wolfgang Grobe,28,4
113,Martin Petrow,28,6
113,Niclas Füllkrug,28,6
113,Amoroso,28,9
113,Jürgen Kalb,28,12
113,Michael Kutzop,28,17
114,Mohamadou Idrissou,27,0
114,Sven Demandt,27,0
114,Maximilian Philipp,27,0
114,Erdal Keser,27,0
114,Paul Steiner,27,0
114,Eren Derdiyok,27,0
114,Sebastian Freis,27,0
114,Horst Trimhold,27,0
114,Angelos Charisteas,27,0
114,Olaf Bodden,27,0
114,Peter Meyer,27,0
114,Julian Schieber,27,0
114,Daniel Van Buyten,27,0
114,Magnus Arvidsson,27,0
114,Werner Lotz,27,0
114,Christian Wörns,27,1
114,Arie van Lent,27,3
114,Marc Wilmots,27,3
114,Günther Herrmann,27,3
114,Dietmar Danner,27,3
114,Adel Sellimi,27,5
115,Karl-Heinz Kamp,26,0
115,Franz-Josef Tenhagen,26,0
115,Walter Oswald,26,0
115,Dieter Trunk,26,0
115,Mame Diouf,26,0
115,Delron Buckley,26,0
115,Heiko Westermann,26,0
115,Yuya Osako,26,0
115,Matthias Herget,26,0
115,Gustav Jung,26,0
115,Maurice Banach,26,0
115,Lewis Holtby,26,0
115,Yasuhiko Okudera,26,0
115,Manfred Binz,26,1
115,Sami Allagui,26,1
115,Leonardo Bittencourt,26,1
115,Raphaël Guerreiro,26,1
115,Sidney Sam,26,2
115,Nando Rafael,26,2
115,Boubacar Sanogo,26,2
115,Róbert Vittek,26,3
115,Saša Ćirić,26,5
115,Holger Brück,26,8
115,Ludwig Müller,26,14
115,Hans Jörg Butt,26,26
116,Eberhard Carl,25,0
116,Uwe Kliemann,25,0
116,Marcell Jansen,25,0
116,Naohiro Takahara,25,0
116,Stephan Paßlack,25,0
116,Bernd Förster,25,0
116,Bordon,25,0
116,Juan Arango,25,0
116,Tasso Wild,25,0
116,Alex Alves,25,0
116,Stefan Aigner,25,0
116,Jörg Heinrich,25,0
116,Kurt Jara,25,0
116,Ebi Smolarek,25,0
116,Peter Peschel,25,0
116,Franz Krauthausen,25,0
116,Helmut Hermann,25,0
116,Demba Ba,25,0
116,Ishak Belfodil,25,1
116,Klaus Beverungen,25,1
116,Markus Feldhoff,25,1
116,Jan Schlaudraff,25,2
116,Dirk Lottner,25,3
116,Uwe Tschiskale,25,3
116,David Alaba,25,3
116,Josef Weikl,25,7
116,Stefan Reuter,25,8
117,Rolf Blau,24,0
117,Michael Tarnat,24,0
117,Heinz Gründel,24,0
117,Marco Russ,24,0
117,Gilbert Gress,24,0
117,Guido Burgstaller,24,0
117,Jan Rosenthal,24,0
117,Lucas Höler,24,0
117,Sebastian Kehl,24,0
117,Karlheinz Geils,24,0
117,Leroy Sané,24,0
117,Heinz Stickel,24,0
117,Christian Eigler,24,0
117,Ciprian Marica,24,1
117,Jacek Krzynowek,24,2
117,Jean-Philippe Mateta,24,2
117,Uwe Bracht,24,3
117,Sébastien Haller,24,4
117,Lothar Schämer,24,4
117,Dodi Lukebakio,24,6
118,Lothar Sippel,23,0
118,Hans Rebele,23,0
118,Henrich Mchitarjan,23,0
118,Theodor Gebre Selassie,23,0
118,Julian Draxler,23,0
118,Pablo Thiam,23,0
118,Franz Merkhoffer,23,0
118,Uwe Wassmer,23,0
118,Henri Fuchs,23,0
118,Michael Schröder,23,0
118,Thomas Parits,23,0
118,Christian Schulz,23,0
118,Toni Kroos,23,0
118,Rainer Zobel,23,0
118,Jan Mattsson,23,0
118,Kevin Großkreutz,23,0
118,Carsten Nielsen,23,0
118,Tobias Werner,23,0
118,Kevin De Bruyne,23,0
118,Ciriaco Sforza,23,0
118,Paco Alcacer,23,1
118,Bernd Lorenz,23,1
118,Didier Six,23,1
118,René Tretschok,23,2
118,Dieter Höller,23,2
118,Gerd-Volker Schock,23,2
118,Peter Közle,23,2
118,Rouwen Hennings,23,5
118,Ludwig Kögl,23,8
118,Sergio Zárate,23,8
119,Manfred Rummel,22,0
119,Srđan Lakić,22,0
119,Moussa Diaby,22,0
119,Christoph Dabrowski,22,0
119,Carsten Ramelow,22,0
119,Peter Szech,22,0
119,Bernd Windhausen,22,0
119,Torbjörn Nilsson,22,0
119,Karim Onisiwo,22,0
119,Hans Dorfner,22,0
119,Uli Bittcher,22,0
119,Gerhard Poschner,22,0
119,Lúcio,22,0
119,Thomas Berthold,22,0
119,Ivan Buljan,22,0
119,Artjoms Rudņevs,22,0
119,Matthias Hagner,22,0
119,Sasa Kalajdzic,22,1
119,Lars Bender,22,1
119,Josélu,22,1
119,Horst Wohlers,22,1
119,Dorinel Munteanu,22,1
119,Søren Lerby,22,2
119,Günter Kuntz,22,2
119,Herbert Zimmermann,22,3
119,Nuri Şahin,22,3
119,Michael Thurk,22,3
119,Vladimír Darida,22,4
119,Franco Di Santo,22,4
119,Helmut Kapitulski,22,4
119,Andreas Ivanschitz,22,7
119,Otto Rehhagel,22,11
120,İlyas Tüfekçi,21,0
120,Jens Todt,21,0
120,Ulrik le Fevre,21,0
120,Arno Glesius,21,0
120,Bernd Dörfel,21,0
120,Zlatko Junuzović,21,0
120,Andrzej Buncol,21,0
120,Marcus Thuram,21,0
120,Dietmar Beiersdorfer,21,0
120,Peter Cestonaro,21,0
120,Peter Dietrich,21,0
120,Kalle Del'Haye,21,0
120,Diethelm Ferner,21,0
120,Georg Schwarzenbeck,21,0
120,Holger Willmer,21,0
120,Armin Eck,21,0
120,França,21,0
120,Thomas Kroth,21,0
120,Wolfgang Weber,21,0
120,Benjamin Auer,21,0
120,Hermann Bitz,21,0
120,Peter Schwarz,21,0
120,Hans-Georg Dreßen,21,1
120,Bo Larsson,21,1
120,Sérgio da Silva Pinto,21,1
120,Franz Raschid,21,1
120,Taiwo Awoniyi,21,2
120,Gerhard Kleppinger,21,2
120,Paul Holz,21,2
120,Đorđe Pavlić,21,3
120,Piotr Trochowski,21,3
120,Ondrej Duda,21,3
120,Milot Rashica,21,4
120,Reinhard Meier,21,5
120,Harald Konopka,21,5
120,Branimir Hrgota,21,6
