Spieler,DFB_id,link,Nation,Nationalelf
Gerd Müller,3257,https://datencenter.dfb.de/profil/3257,['Deutschland'],Deutschland
Robert Lewandowski,17534,https://datencenter.dfb.de/profil/17534,['Polen'],Polen
Klaus Fischer,44186,https://datencenter.dfb.de/profil/44186,['Deutschland'],Deutschland
Jupp Heynckes,42760,https://datencenter.dfb.de/profil/42760,['Deutschland'],Deutschland
Manfred Burgsmüller,43169,https://datencenter.dfb.de/profil/43169,['Deutschland'],Deutschland
Claudio Pizarro,5681,https://datencenter.dfb.de/profil/5681,"['Peru', 'Italien']",Peru
Ulf Kirsten,3158,https://datencenter.dfb.de/profil/3158,['Deutschland'],Deutschland
Stefan Kuntz,41954,https://datencenter.dfb.de/profil/41954,['Deutschland'],Deutschland
Dieter Müller,44507,https://datencenter.dfb.de/profil/44507,['Deutschland'],Deutschland
Klaus Allofs,43182,https://datencenter.dfb.de/profil/43182,['Deutschland'],Deutschland
Mario Gomez,7515,https://datencenter.dfb.de/profil/7515,['Deutschland'],Deutschland
Hannes Löhr,43632,https://datencenter.dfb.de/profil/43632,['Deutschland'],Deutschland
Karl-Heinz Rummenigge,41480,https://datencenter.dfb.de/profil/41480,['Deutschland'],Deutschland
Bernd Hölzenbein,44057,https://datencenter.dfb.de/profil/44057,['Deutschland'],Deutschland
Fritz Walter,45441,https://datencenter.dfb.de/profil/45441,['Deutschland'],Deutschland
Thomas Allofs,43322,https://datencenter.dfb.de/profil/43322,['Deutschland'],Deutschland
Marco Reus,22225,https://datencenter.dfb.de/profil/22225,['Deutschland'],Deutschland
Stefan Kießling,3133,https://datencenter.dfb.de/profil/3133,['Deutschland'],Deutschland
Bernd Nickel,44058,https://datencenter.dfb.de/profil/44058,['Deutschland'],Deutschland
Uwe Seeler,41482,https://datencenter.dfb.de/profil/41482,['Deutschland'],Deutschland
Thomas Müller,3249,https://datencenter.dfb.de/profil/3249,['Deutschland'],Deutschland
Horst Hrubesch,44757,https://datencenter.dfb.de/profil/44757,['Deutschland'],Deutschland
Giovane Élber,40706,https://datencenter.dfb.de/profil/40706,['Brasilien'],Brasilien
Rudi Völler,41454,https://datencenter.dfb.de/profil/41454,['Deutschland'],Deutschland
Michael Zorc,45357,https://datencenter.dfb.de/profil/45357,['Deutschland'],Deutschland
Karl Allgöwer,45324,https://datencenter.dfb.de/profil/45324,['Deutschland'],Deutschland
Dieter Hoeneß,44910,https://datencenter.dfb.de/profil/44910,['Deutschland'],Deutschland
Vedad Ibišević,492,https://datencenter.dfb.de/profil/492,"['Bosnien-Herzegowina', 'USA']",Bosnien-Herzegowina
Martin Max,40782,https://datencenter.dfb.de/profil/40782,['Deutschland'],Deutschland
Georg Volkert,43435,https://datencenter.dfb.de/profil/43435,['Deutschland'],Deutschland
Frank Mill,44838,https://datencenter.dfb.de/profil/44838,['Deutschland'],Deutschland
Miroslav Klose,3205,https://datencenter.dfb.de/profil/3205,['Deutschland'],Deutschland
Herbert Laumen,42761,https://datencenter.dfb.de/profil/42761,['Deutschland'],Deutschland
Lothar Matthäus,18419,https://datencenter.dfb.de/profil/18419,['Deutschland'],Deutschland
Roland Wohlfarth,45309,https://datencenter.dfb.de/profil/45309,['Deutschland'],Deutschland
Ronnie Worm,44431,https://datencenter.dfb.de/profil/44431,['Deutschland'],Deutschland
Bernd Rupp,42762,https://datencenter.dfb.de/profil/42762,['Deutschland'],Deutschland
Pierre Littbarski,41955,https://datencenter.dfb.de/profil/41955,['Deutschland'],Deutschland
Lothar Emmerich,42620,https://datencenter.dfb.de/profil/42620,['Deutschland'],Deutschland
Reiner Geye,43300,https://datencenter.dfb.de/profil/43300,['Deutschland'],Deutschland
Kevin Kurányi,7516,https://datencenter.dfb.de/profil/7516,['Deutschland'],Deutschland
Andreas Möller,28757,https://datencenter.dfb.de/profil/28757,['Deutschland'],Deutschland
Jürgen Klinsmann,3209,https://datencenter.dfb.de/profil/3209,['Deutschland'],Deutschland
Jürgen Grabowski,43830,https://datencenter.dfb.de/profil/43830,['Deutschland'],Deutschland
Klaus Toppmöller,43273,https://datencenter.dfb.de/profil/43273,['Deutschland'],Deutschland
Fredi Bobic,40688,https://datencenter.dfb.de/profil/40688,['Deutschland'],Deutschland
Uwe Rahn,45122,https://datencenter.dfb.de/profil/45122,['Deutschland'],Deutschland
Stéphane Chapuisat,42363,https://datencenter.dfb.de/profil/42363,['Schweiz'],Schweiz
Ailton,18756,https://datencenter.dfb.de/profil/18756,['Brasilien'],Brasilien
Christian Schreier,45337,https://datencenter.dfb.de/profil/45337,['Deutschland'],Deutschland
Bruno Labbadia,3136,https://datencenter.dfb.de/profil/3136,['Deutschland'],Deutschland
Marco Bode,40765,https://datencenter.dfb.de/profil/40765,['Deutschland'],Deutschland
Thomas von Heesen,269,https://datencenter.dfb.de/profil/269,['Deutschland'],Deutschland
Arjen Robben,19538,https://datencenter.dfb.de/profil/19538,['Niederlande'],Niederlande
Mehmet Scholl,40704,https://datencenter.dfb.de/profil/40704,['Deutschland'],Deutschland
Beom-geun Cha,41474,https://datencenter.dfb.de/profil/41474,['Südkorea'],Südkorea
Erwin Kostedde,43156,https://datencenter.dfb.de/profil/43156,['Deutschland'],Deutschland
Pierre-Emerick Aubameyang,134830,https://datencenter.dfb.de/profil/134830,"['Gabun', 'Frankreich']",Gabun
Max Kruse,29226,https://datencenter.dfb.de/profil/29226,['Deutschland'],Deutschland
Frank Neubarth,41775,https://datencenter.dfb.de/profil/41775,['Deutschland'],Deutschland
Franz Brungs,42618,https://datencenter.dfb.de/profil/42618,['Deutschland'],Deutschland
Hermann Ohlicher,44597,https://datencenter.dfb.de/profil/44597,['Deutschland'],Deutschland
Tony Yeboah,46085,https://datencenter.dfb.de/profil/46085,['Ghana'],Ghana
Sergej Barbarez,40734,https://datencenter.dfb.de/profil/40734,"['Bosnien-Herzegowina', 'Deutschland']",Bosnien-Herzegowina
Erich Beer,43458,https://datencenter.dfb.de/profil/43458,['Deutschland'],Deutschland
Hans-Jörg Criens,43784,https://datencenter.dfb.de/profil/43784,['Deutschland'],Deutschland
Paul Breitner,44290,https://datencenter.dfb.de/profil/44290,['Deutschland'],Deutschland
Alexander Meier,8134,https://datencenter.dfb.de/profil/8134,['Deutschland'],Deutschland
Willi Reimann,41953,https://datencenter.dfb.de/profil/41953,['Deutschland'],Deutschland
Ente Lippens,43981,https://datencenter.dfb.de/profil/43981,"['Deutschland', 'Niederlande']",Deutschland
Oliver Neuville,3890,https://datencenter.dfb.de/profil/3890,['Deutschland'],Deutschland
