,Spieler,Nation,Nationalelf
0,Gerd Müller,['Deutschland'],Deutschland
1,Robert Lewandowski,['Polen'],Polen
2,Klaus Fischer,['Deutschland'],Deutschland
3,Jupp Heynckes,['Deutschland'],Deutschland
4,Manfred Burgsmüller,['Deutschland'],Deutschland
5,Claudio Pizarro,"['Peru', 'Italien']",Peru
6,Ulf Kirsten,['Deutschland'],Deutschland
7,Stefan Kuntz,['Deutschland'],Deutschland
8,Dieter Müller,['Deutschland'],Deutschland
9,Klaus Allofs,['Deutschland'],Deutschland
10,Mario Gomez,['Deutschland'],Deutschland
11,Hannes Löhr,['Deutschland'],Deutschland
12,Karl-Heinz Rummenigge,['Deutschland'],Deutschland
13,Bernd Hölzenbein,['Deutschland'],Deutschland
14,Fritz Walter,['Deutschland'],Deutschland
15,Thomas Allofs,['Deutschland'],Deutschland
16,Marco Reus,['Deutschland'],Deutschland
17,Stefan Kießling,['Deutschland'],Deutschland
18,Bernd Nickel,['Deutschland'],Deutschland
19,Uwe Seeler,['Deutschland'],Deutschland
20,Thomas Müller,['Deutschland'],Deutschland
21,Horst Hrubesch,['Deutschland'],Deutschland
22,Giovane Élber,['Brasilien'],Brasilien
23,Rudi Völler,['Deutschland'],Deutschland
24,Michael Zorc,['Deutschland'],Deutschland
25,Karl Allgöwer,['Deutschland'],Deutschland
26,Dieter Hoeneß,['Deutschland'],Deutschland
27,Vedad Ibišević,"['Bosnien-Herzegowina', 'USA']",Bosnien-Herzegowina
28,Martin Max,['Deutschland'],Deutschland
29,Georg Volkert,['Deutschland'],Deutschland
30,Frank Mill,['Deutschland'],Deutschland
31,Miroslav Klose,['Deutschland'],Deutschland
32,Herbert Laumen,['Deutschland'],Deutschland
33,Lothar Matthäus,['Deutschland'],Deutschland
34,Roland Wohlfarth,['Deutschland'],Deutschland
35,Ronnie Worm,['Deutschland'],Deutschland
36,Bernd Rupp,['Deutschland'],Deutschland
37,Pierre Littbarski,['Deutschland'],Deutschland
38,Lothar Emmerich,['Deutschland'],Deutschland
39,Reiner Geye,['Deutschland'],Deutschland
40,Kevin Kurányi,['Deutschland'],Deutschland
41,Andreas Möller,['Deutschland'],Deutschland
42,Jürgen Klinsmann,['Deutschland'],Deutschland
43,Jürgen Grabowski,['Deutschland'],Deutschland
44,Klaus Toppmöller,['Deutschland'],Deutschland
45,Fredi Bobic,['Deutschland'],Deutschland
46,Uwe Rahn,['Deutschland'],Deutschland
47,Stéphane Chapuisat,['Schweiz'],Schweiz
48,Ailton,['Brasilien'],Brasilien
49,Christian Schreier,['Deutschland'],Deutschland
50,Bruno Labbadia,['Deutschland'],Deutschland
51,Marco Bode,['Deutschland'],Deutschland
52,Thomas von Heesen,['Deutschland'],Deutschland
53,Arjen Robben,['Niederlande'],Niederlande
54,Mehmet Scholl,['Deutschland'],Deutschland
55,Beom-geun Cha,['Südkorea'],Südkorea
56,Erwin Kostedde,['Deutschland'],Deutschland
57,Pierre-Emerick Aubameyang,"['Gabun', 'Frankreich']",Gabun
58,Max Kruse,['Deutschland'],Deutschland
59,Frank Neubarth,['Deutschland'],Deutschland
60,Franz Brungs,['Deutschland'],Deutschland
61,Hermann Ohlicher,['Deutschland'],Deutschland
62,Tony Yeboah,['Ghana'],Ghana
